DISTRICT_ID,DISTRICT_NAME
3444,Menomonie Area
3479,Mequon-Thiensville
3484,Mercer School
3500,Merrill Area
3510,Swallow Elementary
3514,North Lake Elementary
3528,Merton Community
3542,Stone Bank School District
3549,Middleton-Cross Plains Area
3612,Milton
3619,Milwaukee
3633,Mineral Point Unified
3640,Minocqua J1
3647,Lakeland UHS
3654,Northwood
3661,Mishicot
3668,Mondovi
3675,Monona Grove
3682,Monroe
3689,Montello
3696,Monticello
3787,Mosinee
3794,Mount Horeb Area
3822,Mukwonago
3850,Riverdale
3857,Muskego-Norway
3862,Lake Country School
3871,Necedah Area
3892,Neenah Joint
3899,Neillsville
3906,Nekoosa
3920,New Auburn
3925,New Berlin
3934,New Glarus
3941,New Holstein
3948,New Lisbon
3955,New London
3962,New Richmond
3969,Niagara
3976,Norris High
3983,North Fond Du Lac
3990,Norwalk-Ontario-Wilton
4011,Norway J7
4018,Oak Creek-Franklin Joint
4025,Oakfield
4060,Oconomowoc Area
4067,Oconto Unified
4074,Oconto Falls Public
4088,Omro
4095,Onalaska
4137,Oostburg
4144,Oregon
4151,Parkview
4165,Osceola
4179,Oshkosh Area
4186,Osseo-Fairchild
4207,Owen-Withee
4221,Palmyra-Eagle Area
4228,Pardeeville Area
4235,Paris J1
4263,Beecher-Dunbar-Pembine
4270,Pepin Area
4305,Peshtigo
4312,Pewaukee
4330,Phelps
4347,Phillips
4368,Pittsville
4375,Tri-County Area
4389,Platteville
4459,Plum City
4473,Plymouth Joint
4501,Portage Community
4508,Port Edwards
4515,Port Washington-Saukville
4522,South Shore
4529,Potosi
4536,Poynette
4543,Prairie Du Chien Area
4557,Prairie Farm Public
4571,Prentice
4578,Prescott
4606,Princeton School
4613,Pulaski Community
4620,Racine Unified
4627,Randall J1
4634,Randolph
4641,Random Lake
4686,Raymond Elementary
4690,North Cape Elementary
4753,Reedsburg
4760,Reedsville
4781,Rhinelander
4795,Rib Lake
4802,Rice Lake Area
4820,Richfield J1
4843,Friess Lake School
4851,Richland
4865,Rio Community
4872,Ripon Area
4893,River Falls
4904,River Ridge
4956,Rosendale-Brandon
4963,Rosholt
4970,D C Everest Area
5019,Saint Croix Falls
5026,Saint Francis
5054,Central/Westosha UHS
5068,Salem Elementary
5100,Sauk Prairie
5124,Seneca Area
5130,Sevastopol
5138,Seymour Community
5258,Sharon J11
5264,Shawano
5271,Sheboygan Area
5278,Sheboygan Falls
5306,Shell Lake
5348,Shiocton
5355,Shorewood
5362,Shullsburg
5369,Silver Lake J1
5376,Siren
5390,Slinger
5397,Solon Springs School
5432,Somerset
5439,South Milwaukee
5457,Southern Door County
5460,Sparta Area
5467,Spencer
5474,Spooner Area
5523,River Valley
5586,Spring Valley
5593,Stanley-Boyd Area
5607,Stevens Point Area Public
5614,Stockbridge
5621,Stoughton Area
5628,Stratford
5642,Sturgeon Bay
5656,Sun Prairie Area
5663,Superior
5670,Suring Public
5726,Thorp
5733,Three Lakes
5740,Tigerton
5747,Tomah Area
5754,Tomahawk
5757,Flambeau
5780,Trevor-Wilmot Consolidated
5810,Turtle Lake
5817,Twin Lakes #4
5824,Two Rivers Public
5852,Union Grove UHS
5859,Union Grove J1
5866,Valders Area
5901,Verona Area
5960,Kickapoo Area
5985,Viroqua Area
5992,Wabeno Area
6013,Big Foot UHS
6022,Walworth J1
6027,Washburn
6069,Washington Island
6083,Waterford UHS
6104,Washington-Caldwell
6113,Waterford Graded J1
6118,Waterloo
6125,Watertown Unified
6174,Waukesha
6181,Waunakee Community
6195,Waupaca
6216,Waupun
6223,Wausau
6230,Wausaukee
6237,Wautoma Area
6244,Wauwatosa
6251,Wauzeka-Steuben
6293,Webster
6300,West Allis-West Milwaukee
6307,West Bend
6321,Westby Area
6328,West De Pere
6335,Westfield
6354,Weston
6370,West Salem
6384,Weyauwega-Fremont
6412,Wheatland J1
6419,Whitefish Bay
6426,Whitehall
6440,White Lake
6461,Whitewater Unified
6470,Whitnall
6475,Wild Rose
6482,Williams Bay
6545,Wilmot UHS
6608,Winneconne Community
6615,Winter
6678,Wisconsin Dells
6685,Wisconsin Rapids
6692,Wittenberg-Birnamwood
6713,Wonewoc-Union Center
6720,Woodruff J1
6734,Wrightstown Community
6748,Yorkville J2
8001,Seeds of Health Inc
8106,Milwaukee Academy of Science
8127,Dr Howard Fuller Collegiate Academy
8131,Escuela Verde
8139,Pathways High
